world,scenario_id,condition,system,channel,run_idx,episode_id,valid,censored,hit_cap_sim_steps,hit_cap_wallclock,termination_reason,duration_s,ticks,wallclock_s,turns,agent_turns,user_turns,turn_taking,conv_progression,selectivity,n_distractors_injected,n_distractors_ignored,prd,efficiency,optimal_blocks,blocks_walked,pass_at_1,over_ratio,under_ratio,budget_side,faithfulness,dnsmos,utmos,nisqa,speech_complexity_preset,agent_model_id,decision_model_arm,ideal_tool_calls,actual_tool_calls,conditional_pop_note,conv_progression_raw13,faithfulness_raw13,conv_progression_pass_gate,faithfulness_pass_gate
nyc_geo,geo_b_blocked_i3,blocked,gpt-realtime-2.1-mini,realistic,2,21ccb8fa-c32e-4d1a-abcc-4998939bc6e7,1,1,1,0,max_steps,1200.2,6001,2492.1,244,122,122,0.0,0.0,0.7857,14,11,0,,5,6,0,,0.5714,under,0.0,3.254,3.993,3.415,regular,openai:gpt-realtime-2.1-mini,luna,7,4,,1,1,0,0
nyc_geo,geo_b_blocked_i3,blocked,gpt-realtime-2.1-mini,realistic,3,0861ebfe-bbca-4aae-9013-92e7b7bf7ab9,1,1,1,0,max_steps,1200.2,6001,3322.4,1473,737,736,0.2174,0.0,0.625,16,10,0,,5,7,0,1.7143,,over,0.0,3.366,4.165,3.697,regular,openai:gpt-realtime-2.1-mini,luna,7,12,,1,1,0,0
nyc_geo,geo_b_blocked_i3,blocked,gpt-realtime-2.1-mini,realistic,4,9c741c9e-6736-446c-b741-450a26def371,1,1,1,0,max_steps,1200.2,6001,3525.8,1452,726,726,0.0,0.0,0.6429,14,9,0,,5,5,0,,0.5714,under,0.0,3.372,4.155,3.724,regular,openai:gpt-realtime-2.1-mini,luna,7,4,,1,1,0,0
nyc_geo,geo_f_errand_i1,errand,gpt-realtime-2.1-mini,realistic,0,c3a07c84-9ba0-4708-807e-7bed622ebfb3,1,1,1,0,max_steps,1200.2,6001,3151.0,325,163,162,0.722,0.0,0.25,12,3,0,,11,17,0,4.2308,,over,0.0,3.353,4.149,3.71,regular,openai:gpt-realtime-2.1-mini,luna,13,55,,1,1,0,0
nyc_geo,geo_f_errand_i1,errand,gpt-realtime-2.1-mini,realistic,1,643047d3-fb4c-4873-b947-601f4bfd8d09,1,1,1,0,max_steps,1200.2,6001,2435.8,206,103,103,0.0,0.0,0.75,12,9,0,,5,5,0,3.8333,,over,0.0,3.276,4.077,3.592,regular,openai:gpt-realtime-2.1-mini,luna,6,23,,1,1,0,0
nyc_geo,geo_f_errand_i1,errand,gpt-realtime-2.1-mini,realistic,2,fecae970-cb21-4d78-beaf-d79628939878,1,1,1,0,max_steps,1200.2,6001,3007.3,382,191,191,0.0,0.0,0.6154,13,8,0,,5,13,0,4.3333,,over,0.0,3.389,4.163,3.751,regular,openai:gpt-realtime-2.1-mini,luna,6,26,,1,1,0,0
nyc_geo,geo_f_errand_i1,errand,gpt-realtime-2.1-mini,realistic,3,55b3c00e-b9aa-40c2-bd5d-3acef13ad2fe,1,1,1,0,max_steps,1200.2,6001,2285.5,182,91,91,0.0,0.0,1.0,16,16,0,,5,7,0,2.8333,,over,0.0,3.135,3.854,3.5,regular,openai:gpt-realtime-2.1-mini,luna,6,17,,1,1,0,0
nyc_geo,geo_f_errand_i1,errand,gpt-realtime-2.1-mini,realistic,4,27976589-f6e3-43d7-9ebe-b9151ebd12dd,1,1,1,0,max_steps,1200.2,6001,2513.1,199,100,99,0.6422,0.0,0.7143,21,15,0,,5,5,0,5.0,,over,0.0,3.167,3.908,3.258,regular,openai:gpt-realtime-2.1-mini,luna,6,30,,1,1,0,0
nyc_geo,geo_f_errand_i2,errand,gpt-realtime-2.1-mini,realistic,0,f5bc46f1-3cb2-4cec-9859-ad27d8e6108c,1,1,1,0,max_steps,1200.2,6001,3006.3,181,91,90,0.7588,0.0,0.4444,9,4,0,,5,20,0,9.5,,over,0.0,3.364,4.181,3.782,regular,openai:gpt-realtime-2.1-mini,luna,6,57,,1,1,0,0
nyc_geo,geo_f_errand_i2,errand,gpt-realtime-2.1-mini,realistic,1,f1435232-8cb5-4f20-8b9c-ea70ffaa4ac5,1,1,1,0,max_steps,1200.2,6001,2957.1,219,110,109,0.7232,0.0,0.2778,18,5,0,,5,26,0,6.6667,,over,0.0,3.378,4.147,3.777,regular,openai:gpt-realtime-2.1-mini,luna,6,40,,1,1,0,0
